"id";"acronyme";"composante";"theme";"objet";"description"
001;"AL-ERO-DIST";"alea";"erosion";;"Distance érodée par km linéaire"
002;"AL-ERO-SURF";"alea";"erosion";"immo";"Surface érodée par km linéaire"
003;"AL-ERO-VOL";"alea";"erosion";;"Volume érodé par km linéaire"
004;"AL-SUB-DIST";"alea";"submersion";"info";"Distance d'entrée des eaux à l'intérieur des terres"
005;"AL-SUB-HAUT";"alea";"submersion";"etage";"Hauteur de submersion"
006;"AL-SUB-DEB";"alea";"submersion";"digue";"Débit de submersion"
007;"AL-SUB-EXT";"alea";"submersion";"immo";"Extension annuelle de submersion"
008;"AL-MIGR-TX";"alea";"migration dunaire";;"Taux de migration dunaire"
009;"AL-MIGR-VOL";"alea";"migration dunaire";"immo";"Volume de migration dunaire"
010;"EN-TRAV-NB";"enjeu";"economique";;"Nombre de travailleurs"
011;"EN-VIMMO-MOY";"enjeu";"economique";;"Valeur immobilière moyenne"
012;"EN-VIMMO-TOT";"enjeu";"economique";"immo";"Valeur immobilière totale"
013;"EN-DANGER";"enjeu";"gestion";;"Exposition à un établissements à risque"
014;"EN-DIG";"enjeu";"gestion";"digue";"Part du linéaire côtier artificialisé"
015;"EN-RESEC";"enjeu";"gestion";;"Part des résidences secondaires"
016;"EN-TOUR";"enjeu";"gestion";"info";"Taux de fonction touristique (touristes/habitants)"
017;"EN-BAREV-NB";"enjeu";"humain";;"Nombre de ménages à bas revenus"
018;"EN-PERVUL-NB";"enjeu";"humain";;"Nombre de personnes <10 et >65ans"
019;"EN-PERVUL-PCT";"enjeu";"humain";;"Part des ménages à bas revenus"
020;"EN-POP";"enjeu";"humain";;"Nombre d'habitants"
021;"EN-BAT";"enjeu";"humain";"immo";"Nombre de bâtiments"
022;"EN-FER";"enjeu";"humain";"etage";"Taux de bâtiments fermés n'ayant pas d'étage refuge"
023;"GE-COMP";"gestion";"locale";"info";"Compétences humaines sur les risques côtiers"
024;"GE-GAGE";"gestion";"locale";;"Intégration extraterritoriale"
025;"GE-PPRL";"gestion";"prevention";"digue";"Présence d'un PPRL"
026;"GE-CONST";"gestion";"prevention";"immo";"Constructibilité et aménagements en zone d'alea"
027;"GE-MAPI";"gestion";"trait de côte";;"Mise en place de la compétence"
028;"GE-SDIS";"gestion";"crise";;"Intégration du SDIS dans le PCS"
029;"GE-MAJ";"gestion";"crise";"etage";"Mise à jour du document"
030;"RE-PRAT";"representation";"mesures individuelles";"etage";"Prévention et/ou de protection prises à titre individuel"
031;"RE-COM";"representation";"communication sur les risques";"info";"Sources d'information des personnes sur les risques côtiers"
032;"RE-LIEU";"representation";"mesures individuelles";"immo";"Signification que les personnes donnent à leur lieu de vie"
033;"RE-RISCOT";"representation";"mesures individuelles";;"Attention aux risques côtiers"
034;"RE-GES";"representation";"gestion";"digue";"Confiance dans la gestion des risques côtiers"
100;"TH-ERO";"alea";"erosion";;"Thématique Erosion"
101;"TH-SUB";"alea";"submersion";;"Thématique Submersion"
102;"TH-MIG";"alea";"migration dunaire";;"Thématique Migration dunaire"
103;"TH-ECO";"enjeu";"economique";;"Thématique Enjeu économique"
104;"TH-HUM";"enjeu";"humain";;"Thématique Enjeu humain"
105;"TH-GES";"enjeu";"gestion";;"Thématique Enjeu de gestion"
106;"TH-LOC";"gestion";"locale";;"Thématique Gestion locale"
107;"TH-PRE";"gestion";"prevention";;"Thématique Prévention"
108;"TH-CRI";"gestion";"crise";;"Thématique Gestion de crise"
109;"TH-PRAT";"representation";"mesures individuelles";;"Thématique Mesures individuelles"
110;"TH-COM";"representation";"communication sur les risques";;"Thématique Communication"
300;"CO-AL";"alea";;;"Composante Aléa"
301;"CO-EN";"enjeu";;;"Composante Enjeu"
302;"CO-GE";"gestion";;;"Composante Gestion"
303;"CO-RE";"representation";;;"Composante Représentation"